opportunity_id,company,title,opportunity_type,work_mode,location,country,seniority,experience_min_years,experience_max_years,skills,languages,posted_date,deadline,availability,source_kind,source_name,source_url,apply_url,eligibility,notes,observed_at,record_key,status,days_to_deadline,quality_flag,role_score,skill_score,seniority_score,location_score,opportunity_score,evidence_score,fit_score,confidence_score,final_score,matched_skills,missing_skills,eligibility_flag,fit_reasons,recommendation
YAS-DA-001,Yassir,Data Analyst,full-time,onsite,Algiers,DZ,junior,1,2,api|data visualization|excel|power bi|python|sql|tableau,english|french,,,live_listing,official_job_board,Yassir Lever,https://jobs.lever.co/Yassir/eea322f7-19be-45dd-ac9a-d3d79934566a,https://jobs.lever.co/Yassir/eea322f7-19be-45dd-ac9a-d3d79934566a,Algeria-based role,Public listing snapshot; verify status and requirements before applying.,2026-09-13,9df4c23a938c,active,,,1.0,0.571,0.72,1.0,0.75,1.0,79.5,75.0,79.0,data visualization|excel|power bi|python|sql,api|tableau,verify:eligibility,"role=1.00; skills=0.57; seniority=0.72; location=1.00; opportunity=0.75; evidence=1.00; target=data analyst; matched=data visualization, excel, power bi, python, sql; missing=api, tableau; verify:eligibility",Priority
SGA-ST-001,Societe Generale Algeria,Data Internship and Reporting Pathway,internship,onsite,Algiers,DZ,student,0,1,data visualization|excel|power bi|power query|reporting|sql|vba,english|french,,,career_program,official_career_page,Societe Generale Algeria,https://societegenerale.dz/fr/votre-avenir-chez-nous/nous-rejoindre/,https://societegenerale.dz/fr/votre-avenir-chez-nous/nous-rejoindre/,Convention and current opening must be confirmed,Official local career channel; use the source page to verify current opportunities.,2026-09-13,091373468fd1,program,,,0.5,0.471,1.0,1.0,1.0,1.0,66.9,75.0,67.9,data visualization|excel|power bi|sql,power query|reporting|vba,verify:eligibility,"role=0.50; skills=0.47; seniority=1.00; location=1.00; opportunity=1.00; evidence=1.00; target=data analyst; matched=data visualization, excel, power bi, sql; missing=power query, reporting, vba; verify:eligibility",Priority
OOR-ST-001,Ooredoo Algeria,Student Internship End of Study Pathway,internship,onsite,Algeria,DZ,student,0,1,data analytics|data visualization|excel|power bi|python|sql,english|french,,,career_program,official_career_page,Ooredoo Algeria Career,https://www.ooredoo.dz/fr/tout-sur-ooredoo/career,https://students.ooredoo.dz/,Student pathway; convention and placement details must be confirmed,"Career-program record, not a guaranteed open analytics vacancy.",2026-09-13,310f0e6e4842,program,,,0.0,0.667,1.0,1.0,1.0,1.0,60.8,75.0,62.5,data visualization|excel|power bi|python|sql,data analytics,verify:eligibility,"role=0.00; skills=0.67; seniority=1.00; location=1.00; opportunity=1.00; evidence=1.00; matched=data visualization, excel, power bi, python, sql; missing=data analytics; verify:eligibility",Priority
DJZ-AP-001,Djezzy,Apprenticeship Pathway,apprenticeship,onsite,Algeria,DZ,student,0,1,communication|data analytics|data visualization|excel|python|sql,english|french,,,career_program,official_career_page,Djezzy Career,https://www.djezzy.dz/carriere,https://djezzy-career.talent-soft.com/accueil.aspx?LCID=2057,Student pathway; specific intake must be verified,Monitor the official career portal for new postings.,2026-09-13,7e55b11fc84d,program,,,0.0,0.658,1.0,1.0,1.0,1.0,60.5,75.0,62.2,communication|data visualization|excel|python|sql,data analytics,,"role=0.00; skills=0.66; seniority=1.00; location=1.00; opportunity=1.00; evidence=1.00; matched=communication, data visualization, excel, python, sql; missing=data analytics",Priority
OOR-AP-001,Ooredoo Algeria,Student Apprenticeship Pathway,apprenticeship,onsite,Algeria,DZ,student,0,1,communication|data analytics|data visualization|excel|python|sql,english|french,,,career_program,official_career_page,Ooredoo Algeria Career,https://www.ooredoo.dz/fr/tout-sur-ooredoo/career,https://students.ooredoo.dz/,Student pathway; confirm eligibility and current intake,Useful channel for students seeking structured company exposure.,2026-09-13,2332a00b8fad,program,,,0.0,0.658,1.0,1.0,1.0,1.0,60.5,75.0,62.2,communication|data visualization|excel|python|sql,data analytics,verify:eligibility,"role=0.00; skills=0.66; seniority=1.00; location=1.00; opportunity=1.00; evidence=1.00; matched=communication, data visualization, excel, python, sql; missing=data analytics; verify:eligibility",Priority
DJZ-ST-001,Djezzy,Internship and Student Pathway,internship,onsite,Algeria,DZ,student,0,1,communication|data analytics|data visualization|python|sql|statistics,english|french,,,career_program,official_career_page,Djezzy Career,https://www.djezzy.dz/carriere,https://djezzy-career.talent-soft.com/accueil.aspx?LCID=2057,Student pathway; specific analytics openings must be verified,"Career-site record, not a guaranteed open analytics vacancy.",2026-09-13,04df0cc63913,program,,,0.0,0.608,1.0,1.0,1.0,1.0,58.9,75.0,60.8,communication|data visualization|python|sql|statistics,data analytics,,"role=0.00; skills=0.61; seniority=1.00; location=1.00; opportunity=1.00; evidence=1.00; matched=communication, data visualization, python, sql, statistics; missing=data analytics",Priority
HH-JDA-001,Hire Hangar,Junior Data Analyst,full-time,remote,Remote,INTL,junior,0,2,data cleaning|data visualization|excel|reporting|sql,english,,,live_listing,official_job_board,Hire Hangar Ashby,https://jobs.ashbyhq.com/hirehangar/3c708fbc-3ef1-437f-b45b-7277ed2e3adf,https://jobs.ashbyhq.com/hirehangar/3c708fbc-3ef1-437f-b45b-7277ed2e3adf,Listed country set does not include Algeria in this snapshot,"Keep for monitoring, but do not treat as eligible without confirmation.",2026-09-13,2001f592469f,active,,,1.0,0.51,1.0,1.0,0.75,1.0,81.3,45.0,76.9,data visualization|excel|sql,data cleaning|reporting,blocker:country_scope,"role=1.00; skills=0.51; seniority=1.00; location=1.00; opportunity=0.75; evidence=1.00; target=data analyst; matched=data visualization, excel, sql; missing=data cleaning, reporting; blocker:country_scope",Check eligibility
UN-PA-001,United Nations,Political Affairs Information Analysis and Data Visualisation Intern,internship,remote,New York / Remote,INTL,student,0,1,communication|data analysis|data visualization|reporting|research,english,2026-05-08,2027-05-06,live_listing,official_job_board,UN Careers,https://careers.un.org/jobSearchDescription/276487,https://careers.un.org/jobSearchDescription/276487,International eligibility and unpaid status must be verified,International opportunity with remote or hybrid wording in the source.,2026-09-13,06c81f05ffcf,active,235,,0.667,0.3,1.0,1.0,1.0,1.0,67.5,75.0,68.4,communication|data visualization,data analysis|reporting|research,verify:eligibility,"role=0.67; skills=0.30; seniority=1.00; location=1.00; opportunity=1.00; evidence=1.00; target=data analytics intern; matched=communication, data visualization; missing=data analysis, reporting, research; verify:eligibility",Check eligibility
UN-IAH-001,United Nations,Interns Innovation and Analytics Hub,internship,remote,Geneva / Remote,INTL,student,0,1,data analytics|data visualization|reporting|research|statistics,english,2026-07-01,2026-12-30,live_listing,official_job_board,UN Careers,https://careers.un.org/jobSearchDescription/279794,https://careers.un.org/jobSearchDescription/279794,International eligibility and unpaid status must be verified,International candidate-pool style opportunity; read the official requirements carefully.,2026-09-13,546d577aea24,active,108,,0.333,0.28,1.0,1.0,1.0,1.0,58.2,75.0,60.2,data visualization|statistics,data analytics|reporting|research,verify:eligibility,"role=0.33; skills=0.28; seniority=1.00; location=1.00; opportunity=1.00; evidence=1.00; target=data analytics intern; matched=data visualization, statistics; missing=data analytics, reporting, research; verify:eligibility",Check eligibility
WEA-ARI-001,Weaviate,Applied Research Intern,internship,remote,Worldwide,INTL,student,0,2,databases|information retrieval|machine learning|python|statistics,english,,,live_listing,official_job_board,Weaviate Careers,https://jobs.ashbyhq.com/weaviate/9bd576dc-ac45-4e77-b818-fcbf04cd18e6/,https://jobs.ashbyhq.com/weaviate/9bd576dc-ac45-4e77-b818-fcbf04cd18e6/,Remote wording is broad but regional restrictions must be confirmed,Research and software-heavy; not a pure business analytics role.,2026-09-13,e17382f1273a,active,,,0.333,0.26,1.0,0.9,1.0,1.0,56.5,75.0,58.7,python|statistics,databases|information retrieval|machine learning,verify:eligibility,"role=0.33; skills=0.26; seniority=1.00; location=0.90; opportunity=1.00; evidence=1.00; target=data analytics intern; matched=python, statistics; missing=databases, information retrieval, machine learning; verify:eligibility",Check eligibility
