opportunity_id,company,title,opportunity_type,work_mode,location,country,seniority,experience_min_years,experience_max_years,skills,languages,posted_date,deadline,availability,source_kind,source_name,source_url,apply_url,eligibility,notes,observed_at
YAS-DA-001,Yassir,Data Analyst,full-time,onsite,Algiers,DZ,junior,1,2,excel|sql|python|power bi|tableau|data visualization|api,french|english,,,live_listing,official_job_board,Yassir Lever,https://jobs.lever.co/Yassir/eea322f7-19be-45dd-ac9a-d3d79934566a,https://jobs.lever.co/Yassir/eea322f7-19be-45dd-ac9a-d3d79934566a,Algeria-based role,Public listing snapshot; verify status and requirements before applying.,2026-09-13
YAS-FS-001,Yassir,Data Analyst Financial Services,full-time,hybrid,Algiers,DZ,junior-mid,2,5,sql|python|statistics|experimentation|power bi|looker|bigquery|product analytics|fintech,english,,,live_listing,official_job_board,Yassir Lever,https://jobs.lever.co/Yassir/0aa9d59a-06f4-42bb-9357-63692eeee80c,https://jobs.lever.co/Yassir/0aa9d59a-06f4-42bb-9357-63692eeee80c,Algeria-based role,Strong product and fintech analytics signal; experience requirement is a stretch for a student.,2026-09-13
YAS-MKT-001,Yassir,Marketing Data Analyst,full-time,hybrid,Algiers,DZ,senior,5,7,sql|python|marketing analytics|attribution|experimentation|statistics|product analytics,french|english,,,live_listing,official_job_board,Yassir Lever,https://jobs.lever.co/Yassir/3f8932cc-4ad9-453b-9ac3-ff177510a55b,https://jobs.lever.co/Yassir/3f8932cc-4ad9-453b-9ac3-ff177510a55b,Algeria-based role,Useful benchmark for the skill roadmap; seniority is not entry-level.,2026-09-13
YAS-AM-001,Yassir,Analytics Manager,full-time,hybrid,Algiers,DZ,manager,8,12,sql|power bi|tableau|looker|data governance|data warehousing|etl|stakeholder management,french|english,,,live_listing,official_job_board,Yassir Lever,https://jobs.lever.co/Yassir/d1666a05-1566-40d5-ac80-e45f2d1a4a2a,https://jobs.lever.co/Yassir/d1666a05-1566-40d5-ac80-e45f2d1a4a2a,Algeria-based role,"Included as a seniority benchmark, not a realistic student target.",2026-09-13
YAS-DS-001,Yassir,Data Scientist,full-time,hybrid,Algiers / Constantine / Tlemcen / Oran / Bejaia / Remote,DZ,mid,2,5,python|sql|statistics|machine learning|product analytics|experimentation,english,,,live_listing,official_job_board,Yassir Lever,https://jobs.lever.co/Yassir/37980bd7-7725-41a9-8b88-8f3f9513cd7b,https://jobs.lever.co/Yassir/37980bd7-7725-41a9-8b88-8f3f9513cd7b,Several Algeria locations and remote options are listed,Good long-term target for an analytics student moving toward data science.,2026-09-13
YAS-DE-001,Yassir,Data Engineer DMP Streaming and Analytics,full-time,hybrid,Algiers,DZ,mid-senior,3,7,python|sql|spark|gcp|bigquery|dataflow|pubsub|data modeling|data quality|airflow,english,,,live_listing,official_job_board,Yassir Lever,https://jobs.lever.co/Yassir/79245239-284e-44f1-b0f7-f8bc6f308723,https://jobs.lever.co/Yassir/79245239-284e-44f1-b0f7-f8bc6f308723,Algeria-based role,Shows the engineering foundations that support analytics at scale.,2026-09-13
YAS-DE-002,Yassir,Data Engineer Mid Senior,full-time,hybrid,Algeria East / Algeria West / Algiers,DZ,mid-senior,3,7,python|sql|spark|gcp|bigquery|data modeling|data quality|etl|looker studio,english,,,live_listing,official_job_board,Yassir Lever,https://jobs.lever.co/Yassir/580bb8db-a843-4484-bbff-7ed3e3e10a32,https://jobs.lever.co/Yassir/580bb8db-a843-4484-bbff-7ed3e3e10a32,Algeria-based role,Useful benchmark for a data engineering pathway.,2026-09-13
OOR-ST-001,Ooredoo Algeria,Student Internship End of Study Pathway,internship,onsite,Algeria,DZ,student,0,1,data analytics|excel|sql|python|power bi|data visualization,french|english,,,career_program,official_career_page,Ooredoo Algeria Career,https://www.ooredoo.dz/fr/tout-sur-ooredoo/career,https://students.ooredoo.dz/,Student pathway; convention and placement details must be confirmed,"Career-program record, not a guaranteed open analytics vacancy.",2026-09-13
OOR-AP-001,Ooredoo Algeria,Student Apprenticeship Pathway,apprenticeship,onsite,Algeria,DZ,student,0,1,data analytics|excel|sql|python|data visualization|communication,french|english,,,career_program,official_career_page,Ooredoo Algeria Career,https://www.ooredoo.dz/fr/tout-sur-ooredoo/career,https://students.ooredoo.dz/,Student pathway; confirm eligibility and current intake,Useful channel for students seeking structured company exposure.,2026-09-13
DJZ-ST-001,Djezzy,Internship and Student Pathway,internship,onsite,Algeria,DZ,student,0,1,data analytics|sql|python|statistics|data visualization|communication,french|english,,,career_program,official_career_page,Djezzy Career,https://www.djezzy.dz/carriere,https://djezzy-career.talent-soft.com/accueil.aspx?LCID=2057,Student pathway; specific analytics openings must be verified,"Career-site record, not a guaranteed open analytics vacancy.",2026-09-13
DJZ-AP-001,Djezzy,Apprenticeship Pathway,apprenticeship,onsite,Algeria,DZ,student,0,1,data analytics|sql|python|excel|data visualization|communication,french|english,,,career_program,official_career_page,Djezzy Career,https://www.djezzy.dz/carriere,https://djezzy-career.talent-soft.com/accueil.aspx?LCID=2057,Student pathway; specific intake must be verified,Monitor the official career portal for new postings.,2026-09-13
AT-SC-001,Algeria Telecom Skills Centers,Opportunities Hub Catalog,catalog,unknown,Algeria,DZ,student,0,1,data analytics|python|sql|excel|communication,french|english,,,catalog,official_program_page,Algeria Telecom Skills Centers,https://skillscenter.algerietelecom.dz/opportunities,https://skillscenter.algerietelecom.dz/opportunities,Snapshot page displayed zero active listings,"Keep as a monitoring source for internships, certifications, and youth programs.",2026-09-13
SGA-ST-001,Societe Generale Algeria,Data Internship and Reporting Pathway,internship,onsite,Algiers,DZ,student,0,1,sql|power query|vba|power bi|excel|reporting|data visualization,french|english,,,career_program,official_career_page,Societe Generale Algeria,https://societegenerale.dz/fr/votre-avenir-chez-nous/nous-rejoindre/,https://societegenerale.dz/fr/votre-avenir-chez-nous/nous-rejoindre/,Convention and current opening must be confirmed,Official local career channel; use the source page to verify current opportunities.,2026-09-13
UN-IAH-001,United Nations,Interns Innovation and Analytics Hub,internship,remote,Geneva / Remote,INTL,student,0,1,data analytics|research|data visualization|reporting|statistics,english,2026-07-01,2026-12-30,live_listing,official_job_board,UN Careers,https://careers.un.org/jobSearchDescription/279794,https://careers.un.org/jobSearchDescription/279794,International eligibility and unpaid status must be verified,International candidate-pool style opportunity; read the official requirements carefully.,2026-09-13
UN-PA-001,United Nations,Political Affairs Information Analysis and Data Visualisation Intern,internship,remote,New York / Remote,INTL,student,0,1,data analysis|data visualization|research|reporting|communication,english,2026-05-08,2027-05-06,live_listing,official_job_board,UN Careers,https://careers.un.org/jobSearchDescription/276487,https://careers.un.org/jobSearchDescription/276487,International eligibility and unpaid status must be verified,International opportunity with remote or hybrid wording in the source.,2026-09-13
UN-DV-001,United Nations,Data Visualization and Database Management Intern,internship,onsite,New York,US,student,0,1,data visualization|database|sql|reporting|data management,english,2026-07-29,2026-08-16,historical_snapshot,official_job_board,UN Careers,https://careers.un.org/jobfeed?isPage=true&language=en,https://careers.un.org/jobfeed?isPage=true&language=en,Deadline is in the past for this snapshot,Retained to demonstrate expiry detection.,2026-09-13
UN-ACS-001,United Nations,ACS Intern on Data Analysis,internship,onsite,Addis Ababa,ET,student,0,1,data analysis|statistics|research|reporting,english,2026-07-23,2026-08-21,historical_snapshot,official_job_board,UN Careers,https://careers.un.org/jobfeed?isPage=true&language=en,https://careers.un.org/jobfeed?isPage=true&language=en,Deadline is in the past for this snapshot,Retained to demonstrate stale-record handling.,2026-09-13
WEA-ARI-001,Weaviate,Applied Research Intern,internship,remote,Worldwide,INTL,student,0,2,python|statistics|machine learning|databases|information retrieval,english,,,live_listing,official_job_board,Weaviate Careers,https://jobs.ashbyhq.com/weaviate/9bd576dc-ac45-4e77-b818-fcbf04cd18e6/,https://jobs.ashbyhq.com/weaviate/9bd576dc-ac45-4e77-b818-fcbf04cd18e6/,Remote wording is broad but regional restrictions must be confirmed,Research and software-heavy; not a pure business analytics role.,2026-09-13
ESR-DA-001,E Source,Data Analyst Intern,internship,remote,Remote,US-CA,student,0,1,sql|python|excel|power bi|data manipulation|data visualization,english,,,historical_snapshot,official_job_board,E Source Ashby,https://jobs.ashbyhq.com/e-source/0fdac9db-7078-4798-9cfb-4577e4d5942a/,https://jobs.ashbyhq.com/e-source/0fdac9db-7078-4798-9cfb-4577e4d5942a/,US or Canada work authorization required,Included to show why eligibility filtering matters.,2026-09-13
HH-JDA-001,Hire Hangar,Junior Data Analyst,full-time,remote,Remote,INTL,junior,0,2,excel|sql|data visualization|reporting|data cleaning,english,,,live_listing,official_job_board,Hire Hangar Ashby,https://jobs.ashbyhq.com/hirehangar/3c708fbc-3ef1-437f-b45b-7277ed2e3adf,https://jobs.ashbyhq.com/hirehangar/3c708fbc-3ef1-437f-b45b-7277ed2e3adf,Listed country set does not include Algeria in this snapshot,"Keep for monitoring, but do not treat as eligible without confirmation.",2026-09-13
SUP-DAI-001,Super.com,Data Analytics Intern,internship,remote,Canada,CA,student,0,1,sql|python|r|data visualization|business analytics,english,2026-06-01,2026-09-30,historical_snapshot,official_job_board,Super Ashby,https://jobs.ashbyhq.com/super.com/1fdfd963-c5cb-49a0-be9a-76826aabf922/,https://jobs.ashbyhq.com/super.com/1fdfd963-c5cb-49a0-be9a-76826aabf922/,Canada location and authorization requirements must be confirmed,Included as an international comparison record.,2026-09-13
AUT-CAREER-001,Automattic,Remote Analytics Career Watchlist,catalog,remote,Worldwide,INTL,unknown,0,5,analytics|sql|python|communication|data visualization,english,,,catalog,official_career_page,Automattic Careers,https://automattic.com/work-with-us/,https://automattic.com/work-with-us/,Role-specific eligibility varies by opening,"Use the official career page; this is a watchlist source, not an open vacancy.",2026-09-13
