raw,canonical
powerbi,power bi
power bi,power bi
power-bi,power bi
tableau,tableau
looker studio,looker
google data studio,looker
sql,sql
structured query language,sql
python,python
python pandas,pandas
pandas,pandas
numpy,numpy
excel,excel
microsoft excel,excel
power query,power query
vba,vba
statistics,statistics
statistical analysis,statistics
data visualisation,data visualization
data visualization,data visualization
machine learning,machine learning
ml,machine learning
bigquery,bigquery
gcp,gcp
google cloud,gcp
spark,spark
pyspark,spark
data engineering,data engineering
data quality,data quality
data governance,data governance
etl,etl
api,api
